chr	start	end	chromatin	G2.count	Ychrom
2L_1	10272385	10362186	Euchromatin	0	other
2L_1	10362187	10451987	Euchromatin	0	other
2L_1	10451988	10541789	Euchromatin	0	other
2L_1	10541790	10631591	Euchromatin	2	other
2L_1	10631592	10721392	Euchromatin	0	other
2L_1	10721393	10811194	Euchromatin	0	other
2L_1	10811195	10900995	Euchromatin	0	other
2L_1	10900996	10990797	Euchromatin	0	other
2L_1	10990798	11080599	Euchromatin	0	other
2L_1	11080600	11170400	Euchromatin	0	other
2L_1	11170401	11260202	Euchromatin	0	other
2L_1	11260203	11350004	Euchromatin	0	other
2L_1	11350005	11439805	Euchromatin	1	other
2L_1	11439806	11529607	Euchromatin	0	other
2L_1	11529608	11619408	Euchromatin	0	other
2L_1	11619409	11709210	Euchromatin	1	other
2L_1	11709211	11799012	Euchromatin	0	other
2L_1	11799013	11888813	Euchromatin	0	other
2L_1	11888814	11978615	Euchromatin	1	other
2L_1	11978616	12068417	Euchromatin	0	other
2L_1	12068418	12158218	Euchromatin	0	other
2L_1	12158219	12248020	Euchromatin	0	other
2L_1	12248021	12337821	Euchromatin	0	other
2L_1	12337822	12427623	Euchromatin	0	other
2L_1	12427624	12517425	Euchromatin	0	other
2L_1	12517426	12607226	Euchromatin	1	other
2L_1	12607227	12697028	Euchromatin	1	other
2L_1	12697029	12786830	Euchromatin	0	other
2L_1	12786831	12876631	Euchromatin	0	other
2L_1	12876632	12966433	Euchromatin	0	other
2L_1	12966434	13056235	Euchromatin	0	other
2L_1	13056236	13146036	Euchromatin	0	other
2L_1	13146037	13235838	Euchromatin	0	other
2L_1	13235839	13325639	Euchromatin	0	other
2L_1	13325640	13415441	Euchromatin	1	other
2L_1	13415442	13505243	Euchromatin	0	other
2L_1	13505244	13595044	Euchromatin	1	other
2L_1	13595045	13684846	Euchromatin	2	other
2L_1	13684847	13774648	Euchromatin	1	other
2L_1	13774649	13864449	Euchromatin	0	other
2L_1	13864450	13954251	Euchromatin	0	other
2L_1	13954252	14044052	Euchromatin	0	other
2L_1	14044053	14133854	Euchromatin	0	other
2L_1	14133855	14223656	Euchromatin	1	other
2L_1	14223657	14313457	Euchromatin	0	other
2L_1	14313458	14403259	Euchromatin	0	other
2L_1	14403260	14493061	Euchromatin	0	other
2L_1	14493062	14582862	Euchromatin	1	other
2L_1	14582863	14672664	Euchromatin	0	other
2L_1	14672665	14762465	Euchromatin	0	other
2L_1	14762466	14852267	Euchromatin	1	other
2L_1	14852268	14942069	Euchromatin	0	other
2L_1	14942070	15031870	Euchromatin	1	other
2L_1	15031871	15121672	Euchromatin	0	other
2L_1	15121673	15211474	Euchromatin	0	other
2L_1	15211475	15301275	Euchromatin	0	other
2L_1	15301276	15391077	Euchromatin	0	other
2L_1	15391078	15480878	Euchromatin	0	other
2L_1	15480879	15570680	Euchromatin	1	other
2L_1	15570681	15660482	Euchromatin	0	other
2L_1	15660483	15750283	Euchromatin	0	other
2L_1	15750284	15840085	Euchromatin	0	other
2L_1	15840086	15929887	Euchromatin	0	other
2L_1	15929888	16019688	Euchromatin	0	other
2L_1	16019689	16109490	Euchromatin	1	other
2L_1	16109491	16199291	Euchromatin	0	other
2L_1	16199292	16289093	Euchromatin	0	other
2L_1	16289094	16378895	Euchromatin	0	other
2L_1	16378896	16468696	Euchromatin	1	other
2L_1	16468697	16558498	Euchromatin	0	other
2L_1	16558499	16648300	Euchromatin	0	other
2L_1	16648301	16738101	Euchromatin	0	other
2L_1	16738102	16827903	Euchromatin	0	other
2L_1	16827904	16917704	Euchromatin	0	other
2L_1	16917705	17007506	Euchromatin	1	other
2L_1	17007507	17097308	Euchromatin	1	other
2L_1	17097309	17187109	Euchromatin	0	other
2L_1	17187110	17276911	Euchromatin	2	other
2L_1	17276912	17366713	Euchromatin	2	other
2L_1	17366714	17456514	Euchromatin	0	other
2L_1	17456515	17546316	Euchromatin	0	other
2L_1	17546317	17636118	Euchromatin	0	other
2L_1	17636119	17725919	Euchromatin	0	other
2L_1	17725920	17815721	Euchromatin	0	other
2L_1	17815722	17905522	Euchromatin	1	other
2L_1	17905523	17995324	Euchromatin	0	other
2L_1	17995325	18085126	Euchromatin	0	other
2L_1	18085127	18174927	Euchromatin	0	other
2L_1	18174928	18264729	Euchromatin	1	other
2L_1	18264730	18354531	Euchromatin	2	other
2L_1	18354532	18444332	Euchromatin	1	other
2L_1	18444333	18534134	Euchromatin	1	other
2L_1	18534135	18623935	Euchromatin	0	other
2L_1	18623936	18713737	Euchromatin	1	other
2L_1	18713738	18803539	Euchromatin	0	other
2L_1	18803540	18893340	Euchromatin	1	other
2L_1	18893341	18983142	Euchromatin	0	other
2L_1	18983143	19072944	Euchromatin	0	other
2L_1	19072945	19162745	Euchromatin	0	other
2L_1	19162746	19252547	Euchromatin	0	other
2L_1	19252548	19342348	Euchromatin	1	other
2L_1	19342349	19432150	Euchromatin	1	other
2L_1	19432151	19521952	Euchromatin	0	other
2L_1	19521953	19611753	Euchromatin	0	other
2L_1	19611754	19701555	Euchromatin	0	other
2L_1	19701556	19791357	Euchromatin	0	other
2L_1	19791358	19881158	Euchromatin	1	other
2L_1	19881159	19970960	Euchromatin	0	other
2L_1	19970961	20060761	Euchromatin	1	other
2L_1	20060762	20150563	Euchromatin	0	other
2L_1	20150564	20240365	Euchromatin	0	other
2L_1	20240366	20330166	Euchromatin	0	other
2L_1	20330167	20419968	Euchromatin	0	other
2L_1	20419969	20509770	Euchromatin	0	other
2L_1	20509771	20599571	Euchromatin	1	other
2L_1	20599572	20689373	Euchromatin	0	other
2L_1	20689374	20779174	Euchromatin	1	other
2L_1	20779175	20868976	Euchromatin	1	other
2L_1	20868977	20958778	Euchromatin	1	other
2L_1	20958779	21048579	Euchromatin	1	other
2L_1	21048580	21138381	Euchromatin	0	other
2L_1	21138382	21228183	Euchromatin	0	other
2L_1	21228184	21317984	Euchromatin	0	other
2L_1	21317985	21407786	Euchromatin	0	other
2L_1	21407787	21497588	Euchromatin	0	other
2L_2	0	86725	Euchromatin	0	other
2L_2	86726	173451	Euchromatin	0	other
2L_2	173452	260177	Euchromatin	0	other
2L_2	260178	346903	Euchromatin	0	other
2L_2	346904	433629	Euchromatin	0	other
2L_2	433630	520355	Euchromatin	0	other
2L_2	520356	607081	Euchromatin	0	other
2L_2	607082	693807	Euchromatin	0	other
2L_2	693808	780534	Euchromatin	0	other
2L_2	780535	867260	Euchromatin	0	other
2L_2	867261	953986	Euchromatin	0	other
2L_2	953987	1040712	Euchromatin	0	other
2L_2	1040713	1127438	Euchromatin	0	other
2L_2	1127439	1214164	Euchromatin	0	other
2L_2	1214165	1300890	Euchromatin	0	other
2L_2	1300891	1387616	Euchromatin	0	other
2L_2	1387617	1474342	Euchromatin	1	other
2L_2	1474343	1561069	Euchromatin	0	other
2R_21	1656950	1746689	Euchromatin	0	other
2R_21	1746690	1836430	Euchromatin	0	other
2R_21	1836431	1926171	Euchromatin	1	other
2R_21	1926172	2015912	Euchromatin	0	other
2R_21	2015913	2105652	Euchromatin	2	other
2R_21	2105653	2195393	Euchromatin	1	other
2R_21	2195394	2285134	Euchromatin	0	other
2R_21	2285135	2374875	Euchromatin	2	other
2R_21	2374876	2464615	Euchromatin	0	other
2R_21	2464616	2554356	Euchromatin	0	other
2R_21	2554357	2644097	Euchromatin	0	other
2R_21	2644098	2733838	Euchromatin	0	other
2R_21	2733839	2823579	Euchromatin	1	other
2R_21	2823580	2913319	Euchromatin	0	other
2R_21	2913320	3003060	Euchromatin	1	other
2R_21	3003061	3092801	Euchromatin	0	other
2R_21	3092802	3182542	Euchromatin	0	other
2R_21	3182543	3272282	Euchromatin	0	other
2R_21	3272283	3362023	Euchromatin	0	other
2R_21	3362024	3451764	Euchromatin	0	other
2R_21	3451765	3541505	Euchromatin	0	other
2R_21	3541506	3631245	Euchromatin	0	other
2R_21	3631246	3720986	Euchromatin	0	other
2R_21	3720987	3810727	Euchromatin	0	other
2R_21	3810728	3900468	Euchromatin	0	other
2R_21	3900469	3990209	Euchromatin	0	other
2R_21	3990210	4079949	Euchromatin	0	other
2R_21	4079950	4169690	Euchromatin	0	other
2R_21	4169691	4259431	Euchromatin	0	other
2R_21	4259432	4349172	Euchromatin	0	other
2R_21	4349173	4438912	Euchromatin	1	other
2R_21	4438913	4528653	Euchromatin	0	other
2R_21	4528654	4618394	Euchromatin	0	other
2R_21	4618395	4708135	Euchromatin	0	other
2R_21	4708136	4797875	Euchromatin	0	other
2R_21	4797876	4887616	Euchromatin	1	other
2R_21	4887617	4977357	Euchromatin	0	other
2R_21	4977358	5067098	Euchromatin	0	other
2R_21	5067099	5156839	Euchromatin	1	other
2R_21	5156840	5246579	Euchromatin	0	other
2R_21	5246580	5336320	Euchromatin	0	other
2R_21	5336321	5426061	Euchromatin	0	other
2R_21	5426062	5515802	Euchromatin	0	other
2R_21	5515803	5605542	Euchromatin	0	other
2R_21	5605543	5695283	Euchromatin	0	other
2R_21	5695284	5785024	Euchromatin	0	other
2R_21	5785025	5874765	Euchromatin	1	other
2R_21	5874766	5964505	Euchromatin	0	other
2R_21	5964506	6054246	Euchromatin	1	other
2R_21	6054247	6143987	Euchromatin	1	other
2R_21	6143988	6233728	Euchromatin	1	other
2R_21	6233729	6323469	Euchromatin	0	other
2R_21	6323470	6413209	Euchromatin	0	other
2R_21	6413210	6502950	Euchromatin	2	other
2R_21	6502951	6592691	Euchromatin	0	other
2R_21	6592692	6682432	Euchromatin	0	other
2R_21	6682433	6772172	Euchromatin	0	other
2R_21	6772173	6861913	Euchromatin	0	other
2R_21	6861914	6951654	Euchromatin	0	other
2R_21	6951655	7041395	Euchromatin	0	other
2R_21	7041396	7131135	Euchromatin	0	other
2R_21	7131136	7220876	Euchromatin	0	other
2R_21	7220877	7310617	Euchromatin	0	other
2R_21	7310618	7400358	Euchromatin	0	other
2R_21	7400359	7490099	Euchromatin	0	other
2R_21	7490100	7579839	Euchromatin	0	other
2R_21	7579840	7669580	Euchromatin	0	other
2R_21	7669581	7759321	Euchromatin	0	other
2R_21	7759322	7849062	Euchromatin	0	other
2R_21	7849063	7938802	Euchromatin	0	other
2R_21	7938803	8028543	Euchromatin	0	other
2R_21	8028544	8118284	Euchromatin	0	other
2R_21	8118285	8208025	Euchromatin	0	other
2R_21	8208026	8297766	Euchromatin	0	other
2R_21	8297767	8387506	Euchromatin	1	other
2R_21	8387507	8477247	Euchromatin	0	other
2R_21	8477248	8566988	Euchromatin	0	other
2R_21	8566989	8656729	Euchromatin	0	other
2R_21	8656730	8746469	Euchromatin	0	other
2R_21	8746470	8836210	Euchromatin	0	other
2R_21	8836211	8925951	Euchromatin	0	other
2R_21	8925952	9015692	Euchromatin	0	other
2R_21	9015693	9105432	Euchromatin	0	other
2R_21	9105433	9195173	Euchromatin	0	other
2R_21	9195174	9284914	Euchromatin	0	other
2R_21	9284915	9374655	Euchromatin	0	other
2R_21	9374656	9464396	Euchromatin	0	other
2R_21	9464397	9554136	Euchromatin	0	other
2R_21	9554137	9643877	Euchromatin	0	other
2R_21	9643878	9733618	Euchromatin	0	other
2R_21	9733619	9823359	Euchromatin	0	other
2R_21	9823360	9913099	Euchromatin	0	other
2R_21	9913100	10002840	Euchromatin	1	other
2R_21	10002841	10092581	Euchromatin	0	other
2R_21	10092582	10182322	Euchromatin	0	other
2R_21	10182323	10272062	Euchromatin	0	other
2R_21	10272063	10361803	Euchromatin	1	other
2R_21	10361804	10451544	Euchromatin	0	other
2R_21	10451545	10541285	Euchromatin	0	other
2R_21	10541286	10631026	Euchromatin	0	other
2R_21	10631027	10720766	Euchromatin	1	other
2R_21	10720767	10810507	Euchromatin	0	other
2R_21	10810508	10900248	Euchromatin	0	other
2R_21	10900249	10989989	Euchromatin	0	other
2R_21	10989990	11079729	Euchromatin	1	other
2R_21	11079730	11169470	Euchromatin	0	other
2R_21	11169471	11259211	Euchromatin	0	other
2R_21	11259212	11348952	Euchromatin	0	other
2R_21	11348953	11438692	Euchromatin	0	other
2R_21	11438693	11528433	Euchromatin	0	other
2R_21	11528434	11618174	Euchromatin	1	other
2R_21	11618175	11707915	Euchromatin	0	other
2R_21	11707916	11797656	Euchromatin	0	other
2R_21	11797657	11887396	Euchromatin	0	other
2R_21	11887397	11977137	Euchromatin	0	other
2R_21	11977138	12066878	Euchromatin	0	other
2R_21	12066879	12156619	Euchromatin	0	other
2R_21	12156620	12246359	Euchromatin	0	other
2R_21	12246360	12336100	Euchromatin	0	other
2R_21	12336101	12425841	Euchromatin	1	other
2R_21	12425842	12515582	Euchromatin	0	other
2R_21	12515583	12605322	Euchromatin	0	other
2R_21	12605323	12695063	Euchromatin	0	other
2R_21	12695064	12784804	Euchromatin	1	other
2R_21	12784805	12874545	Euchromatin	0	other
2R_21	12874546	12964286	Euchromatin	0	other
2R_21	12964287	13054026	Euchromatin	0	other
2R_21	13054027	13143767	Euchromatin	0	other
2R_21	13143768	13233508	Euchromatin	0	other
2R_21	13233509	13323249	Euchromatin	0	other
2R_21	13323250	13412989	Euchromatin	0	other
2R_21	13412990	13502730	Euchromatin	0	other
2R_21	13502731	13592471	Euchromatin	0	other
2R_21	13592472	13682212	Euchromatin	0	other
2R_21	13682213	13771952	Euchromatin	0	other
2R_21	13771953	13861693	Euchromatin	0	other
2R_21	13861694	13951434	Euchromatin	0	other
2R_21	13951435	14041175	Euchromatin	0	other
2R_21	14041176	14130916	Euchromatin	0	other
2R_21	14130917	14220656	Euchromatin	0	other
2R_21	14220657	14310397	Euchromatin	0	other
2R_21	14310398	14400138	Euchromatin	0	other
2R_21	14400139	14489879	Euchromatin	0	other
2R_21	14489880	14579619	Euchromatin	0	other
2R_21	14579620	14669360	Euchromatin	0	other
2R_21	14669361	14759101	Euchromatin	0	other
2R_21	14759102	14848842	Euchromatin	0	other
2R_21	14848843	14938583	Euchromatin	0	other
2R_21	14938584	15028323	Euchromatin	0	other
2R_21	15028324	15118064	Euchromatin	0	other
2R_21	15118065	15207805	Euchromatin	0	other
2R_21	15207806	15297546	Euchromatin	1	other
2R_21	15297547	15387286	Euchromatin	0	other
2R_21	15387287	15477027	Euchromatin	0	other
2R_21	15477028	15566768	Euchromatin	0	other
2R_21	15566769	15656509	Euchromatin	0	other
2R_21	15656510	15746249	Euchromatin	0	other
2R_21	15746250	15835990	Euchromatin	0	other
2R_21	15835991	15925731	Euchromatin	0	other
2R_21	15925732	16015472	Euchromatin	0	other
2R_21	16015473	16105213	Euchromatin	0	other
2R_21	16105214	16194953	Euchromatin	0	other
2R_21	16194954	16284694	Euchromatin	0	other
2R_21	16284695	16374435	Euchromatin	0	other
2R_21	16374436	16464176	Euchromatin	0	other
2R_21	16464177	16553916	Euchromatin	0	other
2R_21	16553917	16643657	Euchromatin	1	other
2R_21	16643658	16733398	Euchromatin	0	other
2R_21	16733399	16823139	Euchromatin	0	other
2R_21	16823140	16912879	Euchromatin	0	other
2R_21	16912880	17002620	Euchromatin	0	other
2R_21	17002621	17092361	Euchromatin	0	other
2R_21	17092362	17182102	Euchromatin	0	other
2R_21	17182103	17271843	Euchromatin	0	other
2R_21	17271844	17361583	Euchromatin	0	other
2R_21	17361584	17451324	Euchromatin	0	other
2R_21	17451325	17541065	Euchromatin	0	other
2R_21	17541066	17630806	Euchromatin	0	other
2R_21	17630807	17720546	Euchromatin	0	other
2R_21	17720547	17810287	Euchromatin	0	other
2R_21	17810288	17900028	Euchromatin	0	other
2R_21	17900029	17989769	Euchromatin	0	other
2R_21	17989770	18079509	Euchromatin	0	other
2R_21	18079510	18169250	Euchromatin	0	other
2R_21	18169251	18258991	Euchromatin	0	other
2R_21	18258992	18348732	Euchromatin	0	other
2R_21	18348733	18438473	Euchromatin	0	other
2R_21	18438474	18528213	Euchromatin	1	other
2R_21	18528214	18617954	Euchromatin	0	other
2R_21	18617955	18707695	Euchromatin	0	other
2R_21	18707696	18797436	Euchromatin	0	other
2R_21	18797437	18887176	Euchromatin	0	other
2R_21	18887177	18976917	Euchromatin	0	other
2R_21	18976918	19066658	Euchromatin	0	other
2R_21	19066659	19156399	Euchromatin	0	other
2R_21	19156400	19246139	Euchromatin	0	other
2R_21	19246140	19335880	Euchromatin	0	other
2R_21	19335881	19425621	Euchromatin	0	other
2R_21	19425622	19515362	Euchromatin	0	other
2R_21	19515363	19605103	Euchromatin	0	other
2R_21	19605104	19694843	Euchromatin	0	other
2R_21	19694844	19784584	Euchromatin	0	other
2R_21	19784585	19874325	Euchromatin	0	other
2R_21	19874326	19964066	Euchromatin	0	other
2R_21	19964067	20053806	Euchromatin	0	other
2R_21	20053807	20143547	Euchromatin	0	other
2R_21	20143548	20233288	Euchromatin	0	other
2R_21	20233289	20323029	Euchromatin	0	other
2R_21	20323030	20412769	Euchromatin	0	other
2R_21	20412770	20502510	Euchromatin	0	other
2R_21	20502511	20592251	Euchromatin	0	other
2R_21	20592252	20681992	Euchromatin	1	other
2R_21	20681993	20771733	Euchromatin	0	other
2R_21	20771734	20861473	Euchromatin	0	other
2R_21	20861474	20951214	Euchromatin	0	other
2R_21	20951215	21040955	Euchromatin	0	other
2R_21	21040956	21130696	Euchromatin	0	other
2R_21	21130697	21220436	Euchromatin	0	other
2R_21	21220437	21310177	Euchromatin	0	other
2R_21	21310178	21399918	Euchromatin	0	other
2R_21	21399919	21489659	Euchromatin	0	other
2R_21	21489660	21579400	Euchromatin	0	other
3L_1	7000	96957	Euchromatin	0	other
3L_1	96958	186916	Euchromatin	0	other
3L_1	186917	276874	Euchromatin	0	other
3L_1	276875	366833	Euchromatin	0	other
3L_1	366834	456791	Euchromatin	1	other
3L_1	456792	546750	Euchromatin	0	other
3L_1	546751	636708	Euchromatin	0	other
3L_1	636709	726667	Euchromatin	0	other
3L_1	726668	816625	Euchromatin	0	other
3L_1	816626	906584	Euchromatin	0	other
3L_1	906585	996542	Euchromatin	0	other
3L_1	996543	1086501	Euchromatin	0	other
3L_1	1086502	1176459	Euchromatin	0	other
3L_1	1176460	1266418	Euchromatin	0	other
3L_1	1266419	1356377	Euchromatin	0	other
3L_1	1356378	1446335	Euchromatin	0	other
3L_1	1446336	1536294	Euchromatin	0	other
3L_1	1536295	1626252	Euchromatin	0	other
3L_1	1626253	1716211	Euchromatin	0	other
3L_1	1716212	1806169	Euchromatin	0	other
3L_1	1806170	1896128	Euchromatin	0	other
3L_1	1896129	1986086	Euchromatin	0	other
3L_1	1986087	2076045	Euchromatin	0	other
3L_1	2076046	2166003	Euchromatin	0	other
3L_1	2166004	2255962	Euchromatin	0	other
3L_1	2255963	2345920	Euchromatin	1	other
3L_1	2345921	2435879	Euchromatin	0	other
3L_1	2435880	2525837	Euchromatin	0	other
3L_1	2525838	2615796	Euchromatin	0	other
3L_1	2615797	2705755	Euchromatin	0	other
3L_1	2705756	2795713	Euchromatin	0	other
3L_1	2795714	2885672	Euchromatin	0	other
3L_1	2885673	2975630	Euchromatin	1	other
3L_1	2975631	3065589	Euchromatin	0	other
3L_1	3065590	3155547	Euchromatin	0	other
3L_1	3155548	3245506	Euchromatin	0	other
3L_1	3245507	3335464	Euchromatin	0	other
3L_1	3335465	3425423	Euchromatin	0	other
3L_1	3425424	3515381	Euchromatin	0	other
3L_1	3515382	3605340	Euchromatin	0	other
3L_1	3605341	3695298	Euchromatin	0	other
3L_1	3695299	3785257	Euchromatin	0	other
3L_1	3785258	3875215	Euchromatin	0	other
3L_1	3875216	3965174	Euchromatin	0	other
3L_1	3965175	4055133	Euchromatin	1	other
3L_1	4055134	4145091	Euchromatin	0	other
3L_1	4145092	4235050	Euchromatin	0	other
3L_1	4235051	4325008	Euchromatin	0	other
3L_1	4325009	4414967	Euchromatin	0	other
3L_1	4414968	4504925	Euchromatin	0	other
3L_1	4504926	4594884	Euchromatin	0	other
3L_1	4594885	4684842	Euchromatin	0	other
3L_1	4684843	4774801	Euchromatin	0	other
3L_1	4774802	4864759	Euchromatin	0	other
3L_1	4864760	4954718	Euchromatin	1	other
3L_1	4954719	5044676	Euchromatin	0	other
3L_1	5044677	5134635	Euchromatin	0	other
3L_1	5134636	5224593	Euchromatin	0	other
3L_1	5224594	5314552	Euchromatin	0	other
3L_1	5314553	5404511	Euchromatin	0	other
3L_1	5404512	5494469	Euchromatin	1	other
3L_1	5494470	5584428	Euchromatin	0	other
3L_1	5584429	5674386	Euchromatin	0	other
3L_1	5674387	5764345	Euchromatin	0	other
3L_1	5764346	5854303	Euchromatin	0	other
3L_1	5854304	5944262	Euchromatin	0	other
3L_1	5944263	6034220	Euchromatin	0	other
3L_1	6034221	6124179	Euchromatin	0	other
3L_1	6124180	6214137	Euchromatin	0	other
3L_1	6214138	6304096	Euchromatin	0	other
3L_1	6304097	6394054	Euchromatin	0	other
3L_1	6394055	6484013	Euchromatin	0	other
3L_1	6484014	6573971	Euchromatin	0	other
3L_1	6573972	6663930	Euchromatin	0	other
3L_1	6663931	6753889	Euchromatin	0	other
3L_1	6753890	6843847	Euchromatin	0	other
3L_1	6843848	6933806	Euchromatin	1	other
3L_1	6933807	7023764	Euchromatin	0	other
3L_1	7023765	7113723	Euchromatin	1	other
3L_1	7113724	7203681	Euchromatin	0	other
3L_1	7203682	7293640	Euchromatin	0	other
3L_1	7293641	7383598	Euchromatin	0	other
3L_1	7383599	7473557	Euchromatin	0	other
3L_1	7473558	7563515	Euchromatin	0	other
3L_1	7563516	7653474	Euchromatin	0	other
3L_1	7653475	7743432	Euchromatin	0	other
3L_1	7743433	7833391	Euchromatin	0	other
3L_1	7833392	7923349	Euchromatin	0	other
3L_1	7923350	8013308	Euchromatin	0	other
3L_1	8013309	8103267	Euchromatin	0	other
3L_1	8103268	8193225	Euchromatin	0	other
3L_1	8193226	8283184	Euchromatin	0	other
3L_1	8283185	8373142	Euchromatin	0	other
3L_1	8373143	8463101	Euchromatin	0	other
3L_1	8463102	8553059	Euchromatin	0	other
3L_1	8553060	8643018	Euchromatin	0	other
3L_1	8643019	8732976	Euchromatin	0	other
3L_1	8732977	8822935	Euchromatin	0	other
3L_1	8822936	8912893	Euchromatin	0	other
3L_1	8912894	9002852	Euchromatin	0	other
3L_1	9002853	9092810	Euchromatin	0	other
